entry_id,position,position_from,position_to,scorrimento_act,window_ref,status,amount_value,amount_citation,amount_money_state,pool_amount_value,pool_amount_citation,pool_amount_money_state,citation,source_url,source_sha256
GE-DDS53-3355-3758,3355-3758,3355,3758,DDS-53-2026,FW-DDS53-DELEGA-30D,admitted_to_istruttoria,blocked_insufficient_evidence,blocked_insufficient_evidence,,7490680.98,"DDS 53/2026 CONSIDERATO: accertate economie pari a € 7.490.680,98 che consentono lo scorrimento della graduatoria. Per-position amounts are not stated in the act. data/extracts/acts/DET_53_30_3_2026.txt",allocated,DDS 53/2026 DETERMINA: scorrimento della graduatoria delle domande di aiuto individuali per le posizioni dalla n. 3355 (numero domanda 7270029171) alla n. 3758 (numero domanda 7270009009); ammissione alla fase di istruttoria tecnico-amministrativa. data/extracts/acts/DET_53_30_3_2026.txt,https://burp.regione.puglia.it/documents/20135/2758021/DET_53_30_3_2026.pdf/a3467543-e308-226c-5ad0-51cd51871b9a?version=1.0&t=1776346376445,0d00adcc52b1bb2c39054aa0c6bb6910ff1749c8627140d00179d3dbac9711dd
GE-DDS53-3759-3789,3759-3789,3759,3789,DDS-53-2026,FW-DDS53-DELEGA-30D,reserved_istruttoria,blocked_insufficient_evidence,blocked_insufficient_evidence,,,blocked_insufficient_evidence,,"DDS 53/2026 DETERMINA: ammissione con riserva all'istruttoria tecnico amministrativa delle domande dalla posizione n. 3759 (numero domanda 7270024628) alla posizione n. 3789 (numero domanda 7270094126), nel limite del 10% delle risorse resesi disponibili. data/extracts/acts/DET_53_30_3_2026.txt",https://burp.regione.puglia.it/documents/20135/2758021/DET_53_30_3_2026.pdf/a3467543-e308-226c-5ad0-51cd51871b9a?version=1.0&t=1776346376445,0d00adcc52b1bb2c39054aa0c6bb6910ff1749c8627140d00179d3dbac9711dd
