istat_comune_code,comune,istat_province_code,province,annex_basis,valid_from,valid_to,verified_through
075063,Racale,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075064,Ruffano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075065,Salice Salentino,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075066,Salve,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075067,Sanarica,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075068,San Cesario di Lecce,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075069,San Donato di Lecce,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075070,Sannicola,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075071,San Pietro in Lama,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075072,Santa Cesarea Terme,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075073,Scorrano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075074,Seclì,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075075,Sogliano Cavour,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075076,Soleto,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075077,Specchia,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075078,Spongano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075079,Squinzano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075080,Sternatia,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075081,Supersano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075082,Surano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075083,Surbo,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075084,Taurisano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075085,Taviano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075086,Tiggiano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075087,Trepuzzi,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075088,Tricase,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075089,Tuglie,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075090,Ugento,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075091,Uggiano la Chiesa,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075092,Veglie,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075093,Vernole,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075094,Zollino,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075095,San Cassiano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075096,Castro,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075097,Porto Cesareo,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075098,Presicce-Acquarica,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
074001,Brindisi,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074002,Carovigno,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074003,Ceglie Messapica,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074004,Cellino San Marco,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074005,Cisternino,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074006,Erchie,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074007,Fasano,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074008,Francavilla Fontana,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074009,Latiano,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074010,Mesagne,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074011,Oria,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074012,Ostuni,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074013,San Donaci,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074014,San Michele Salentino,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074015,San Pancrazio Salentino,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074016,San Pietro Vernotico,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074017,San Vito dei Normanni,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074018,Torchiarolo,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074019,Torre Santa Susanna,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
074020,Villa Castelli,074,Brindisi,Annex III Part A point 2 — whole province of Brindisi,2020-08-20,,2026-05-31
