order_ref,act_number,act_year,adopted_on,comune,measure,legal_basis,what_is_ordered,plants_ordered_removed,host_species_named,act_subject
DET-171-2021-FITO,171,2021,2021-12-14,Crispiano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' L.R. 4/2017 smi -D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Crispiano -zona ex contenimento.
DET-172-2021-FITO,172,2021,2021-12-14,Ostuni,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' L.R. 4/2017 smi -D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Ostuni -zona ex contenimento.
DET-176-2021-FITO,176,2021,2021-12-16,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs. 19 del 02/02/2021 ' D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di eradicazione ai sensi del Reg. (UE) 2020/1201 in agro di Monopoli ' Area delimitata di Monopoli.
DET-4-2022-FITO,4,2022,2022-02-08,Taranto,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Taranto - zona ex contenimento.
DET-5-2022-FITO,5,2022,2022-02-08,Ostuni,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Ostuni - zona ex contenimento.
DET-6-2022-FITO,6,2022,2022-02-08,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,"Rettifica atto dirigenziale n° 129 del 04/11/2021 e prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Fasano ' Foglio 100, p.lla 74. Zona ex contenimento."
DET-43-2022-FITO,43,2022,2022-06-27,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano-Area delimitata SALENTO.
DET-44-2022-FITO,44,2022,2022-07-04,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare -Area delimitata di Monopoli.
DET-45-2022-FITO,45,2022,2022-07-04,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano-Area delimitata SALENTO.
DET-46-2022-FITO,46,2022,2022-07-05,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Monopoli -Area delimitata di Monopoli.
DET-54-2022-FITO,54,2022,2022-07-12,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare -Area delimitata di Monopoli.
DET-55-2022-FITO,55,2022,2022-07-13,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Monopoli -Area delimitata di Monopoli.
DET-56-2022-FITO,56,2022,2022-07-14,Alberobello,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Alberobello -Area delimitata Salento.
DET-57-2022-FITO,57,2022,2022-07-14,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano-Area delimitata SALENTO.
DET-60-2022-FITO,60,2022,2022-07-19,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano-Area delimitata SALENTO.
DET-68-2022-FITO,68,2022,2022-07-26,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano-Area delimitata SALENTO.
DET-69-2022-FITO,69,2022,2022-07-26,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare -Area indenne.
DET-70-2022-FITO,70,2022,2022-07-26,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare -Area delimitata di Monopoli.
DET-71-2022-FITO,71,2022,2022-07-26,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Monopoli -Area delimitata di Monopoli.
DET-75-2022-FITO,75,2022,2022-08-03,Martina Franca,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Martina Franca (TA) - Area delimitata SALENTO.
DET-76-2022-FITO,76,2022,2022-08-03,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Monopoli - Area delimitata Salento
DET-77-2022-FITO,77,2022,2022-08-03,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare - Area indenne.
DET-78-2022-FITO,78,2022,2022-08-03,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano - Area delimitata SALENTO.
DET-80-2022-FITO,80,2022,2022-08-05,Martina Franca,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. ai sensi del Reg. (UE) 2020/1201 in agro di Martina Franca (TA) - Area delimitata SALENTO.
DET-81-2022-FITO,81,2022,2022-08-08,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano - Area delimitata SALENTO.
DET-82-2022-FITO,82,2022,2022-08-09,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Monopoli - Area delimitata di Monopoli.
DET-83-2022-FITO,83,2022,2022-08-09,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare - Area indenne.
DET-84-2022-FITO,84,2022,2022-08-09,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare - Area delimitata di Monopoli.
DET-85-2022-FITO,85,2022,2022-08-17,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano -Area delimitata SALENTO
DET-87-2022-FITO,87,2022,2022-08-24,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di pianta infetta da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano -Area delimitata SALENTO.
DET-88-2022-FITO,88,2022,2022-08-24,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare -Area indenne.
DET-89-2022-FITO,89,2022,2022-08-24,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Monopoli - Area delimitata di Monopoli.
DET-90-2022-FITO,90,2022,2022-08-25,Martina Franca,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di pianta infetta da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Martina Franca - Area delimitata SALENTO.
DET-95-2022-FITO,95,2022,2022-09-06,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano - Area delimitata SALENTO.
DET-96-2022-FITO,96,2022,2022-09-06,Alberobello,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Alberobello - Area delimitata Salento.
DET-97-2022-FITO,97,2022,2022-09-06,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare - Area delimitata di Monopoli.
DET-98-2022-FITO,98,2022,2022-09-06,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Castellana Grotte - Area delimitata di Polignano a Mare.
DET-99-2022-FITO,99,2022,2022-09-14,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Monopoli - Area delimitata di Monopoli.
DET-100-2022-FITO,100,2022,2022-09-14,Alberobello,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Alberobello - Area delimitata Salento.
DET-101-2022-FITO,101,2022,2022-09-14,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare -Area indenne.
DET-102-2022-FITO,102,2022,2022-09-15,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Castellana Grotte -Area delimitata di Polignano a Mare.
DET-103-2022-FITO,103,2022,2022-09-15,Martina Franca,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Martina Franca (TA) - Area delimitata Salento.
DET-104-2022-FITO,104,2022,2022-09-15,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano -Area delimitata Salento.
DET-105-2022-FITO,105,2022,2022-09-27,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare -Area indenne.
DET-106-2022-FITO,106,2022,2022-09-27,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare - Area delimitata di Monopoli.
DET-107-2022-FITO,107,2022,2022-09-28,Locorotondo,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Locorotondo - Area delimitata SALENTO.
DET-108-2022-FITO,108,2022,2022-09-29,Martina Franca,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Martina Franca (TA) - Area delimitata SALENTO.
DET-109-2022-FITO,109,2022,2022-09-29,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano -Area delimitata SALENTO.
DET-113-2022-FITO,113,2022,2022-10-05,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Monopoli - Area delimitata di Monopoli.
DET-114-2022-FITO,114,2022,2022-10-05,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare -Area indenne.
DET-117-2022-FITO,117,2022,2022-10-10,Martina Franca,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Martina Franca (TA) - Area delimitata SALENTO.
DET-119-2022-FITO,119,2022,2022-10-14,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Monopoli - Area delimitata di Monopoli.
DET-120-2022-FITO,120,2022,2022-10-14,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Polignano a Mare -Area indenne.
DET-122-2022-FITO,122,2022,2022-10-21,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Monopoli - Area delimitata di Monopoli.
