order_ref,act_number,act_year,adopted_on,comune,measure,legal_basis,what_is_ordered,plants_ordered_removed,host_species_named,act_subject
DET-126-2022-FITO,126,2022,2022-11-03,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano -Area delimitata SALENTO.
DET-143-2022-FITO,143,2022,2022-12-22,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 343/2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Castellana Grotte - Area delimitata Valle D'Itria - Zona Cuscinetto.
DET-2-2023-FITO,2,2023,2023-01-25,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Castellana Grotte - Area delimitata Valle D'Itria - Zona Cuscinetto.
DET-5-2023-FITO,5,2023,2023-01-31,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Castellana Grotte - Area delimitata Valle D'Itria - Zona Cuscinetto.
DET-11-2023-FITO,11,2023,2023-02-09,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Castellana Grotte - Area delimitata Valle D'Itria - Zona Cuscinetto.
DET-20-2023-FITO,20,2023,2023-03-13,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano -Area delimitata SALENTO ' zona di applicazione delle misure di contenimento.
DET-39-2023-FITO,39,2023,2023-04-14,Alberobello,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Alberobello - Area Delimitata Valle D'Itria - Zona Infetta.
DET-40-2023-FITO,40,2023,2023-04-14,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Monopoli - Area Delimitata Valle D'Itria - Zona Infetta.
DET-45-2023-FITO,45,2023,2023-05-09,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Castellana Grotte (BA) - Area Delimitata Valle D'Itria - Zona Infetta.
DET-47-2023-FITO,47,2023,2023-05-15,Alberobello,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Alberobello (BA) - Area Delimitata Valle D'Itria ' Zona Infetta
DET-48-2023-FITO,48,2023,2023-05-15,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Castellana Grotte (BA) - Area Delimitata Valle D'Itria ' Zona Cuscinetto
DET-51-2023-FITO,51,2023,2023-05-19,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Castellana Grotte (BA) - Area Delimitata Valle D'Itria ' Zona Cuscinetto - Rettifica Atto Dirigenziale n. 48 del 15 maggio 2023
DET-55-2023-FITO,55,2023,2023-05-29,Alberobello,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Alberobello (BA) - Area Delimitata Valle D'Itria ' Zona Infetta Dipartimento Agricoltura, Sviluppo Rurale ed AmbientaleSezione Osservatorio Fitosanitariowww.regione."
DET-59-2023-FITO,59,2023,2023-06-01,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Castellana Grotte (BA) - Area Delimitata Valle D'Itria ' Zona Infetta Dipartimento Agricoltura, Sviluppo Rurale ed AmbientaleSezione Osservatorio Fitosanitariowww.regione."
DET-61-2023-FITO,61,2023,2023-06-13,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022 e s.m.i. Prescrizione di estirpazione di pianta infetta da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano (BR) - Area delimitata SALENTO ' zona di applicazione delle misure di contenimento.
DET-62-2023-FITO,62,2023,2023-06-13,Martina Franca,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022. Prescrizione di estirpazione di piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Martina Franca (TA) -Area delimitata SALENTO ' zona di applicazione delle misure di contenimento.
DET-66-2023-FITO,66,2023,2023-06-22,Putignano,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201 in agro di Putignano (BA) - Area Delimitata Valle D'Itria ' Zona Cuscinetto.
DET-68-2023-FITO,68,2023,2023-06-23,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione di 15 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Castellana Grotte (BA) - Area Delimitata Valle D'Itria ' Zona Cuscinetto"
DET-70-2023-FITO,70,2023,2023-06-30,Locorotondo,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,2,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022. Prescrizione di estirpazione di n. 2 piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Locorotondo (BA) - Area delimitata SALENTO ' zona di applicazione delle misure di contenimento.
DET-71-2023-FITO,71,2023,2023-07-06,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,6,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022. Prescrizione di estirpazione di n. 6 piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano (BR) - Area delimitata SALENTO ' zona di applicazione delle misure di contenimento.
DET-72-2023-FITO,72,2023,2023-07-06,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",4,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione di n. 4 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Castellana Grotte (BA) - Area Delimitata Valle D'Itria ' Zona Cuscinetto."
DET-73-2023-FITO,73,2023,2023-07-06,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione di 8 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Monopoli (BA) - Area Delimitata Valle D'Itria ' Zona Infetta Dipartimento Agricoltura, Sviluppo Rurale ed AmbientaleSezione Osservatorio Fitosanitariowww.regione."
DET-74-2023-FITO,74,2023,2023-07-06,Putignano,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",1,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione di n. 1 pianta infetta, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, in agro di Putignano (BA) - Area Delimitata Valle D'Itria ' Zona Cuscinetto."
DET-76-2023-FITO,76,2023,2023-07-18,Locorotondo,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,3,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022. Prescrizione di estirpazione di n. 3 piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Locorotondo (BA) - Area delimitata SALENTO ' zona di applicazione delle misure di contenimento
DET-82-2023-FITO,82,2023,2023-07-26,Crispiano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,1,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022 e s.m.i. Prescrizione di estirpazione di n. 1 pianta infetta da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Crispiano (TA) - Area delimitata SALENTO ' Zona di applicazione delle misure di contenimento.
DET-96-2023-FITO,96,2023,2023-08-28,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Monopoli (BA) - Area Delimitata Valle D'Itria ' Determinazione in ordine alla sentenza n. 1007/2023 del TAR Bari."
DET-106-2023-FITO,106,2023,2023-09-26,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",5,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione di n. 5 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Castellana Grotte (BA) - Area Delimitata Valle D'Itria ' Zona Cuscinetto. Dipartimento Agricoltura, Sviluppo Rurale ed AmbientaleSezione Osservatorio Fitosanitariowww.regione."
DET-107-2023-FITO,107,2023,2023-09-26,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",3,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione per n. 3 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Monopoli (BA) - Area Delimitata Valle D'Itria ' Zona Infetta."
DET-113-2023-FITO,113,2023,2023-10-16,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",3,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione per n. 3 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Castellana Grotte (BA) - Area Delimitata Valle D'Itria ' Zona Infetta."
DET-114-2023-FITO,114,2023,2023-10-16,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,26,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022 e s.m.i. Prescrizione di estirpazione di n. 26 piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano (Br) -Area delimitata SALENTO ' zona di applicazione delle misure di contenimento
DET-115-2023-FITO,115,2023,2023-10-17,Alberobello,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",10,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione per n. 10 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Alberobello (BA) - Area Delimitata Valle D'Itria ' Zona Infetta."
DET-119-2023-FITO,119,2023,2023-11-08,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",37,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione per n. 37 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Monopoli (BA) - Area Delimitata Valle D'Itria ' Zona Infetta."
DET-120-2023-FITO,120,2023,2023-11-08,Putignano,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",1,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione per n. 1 pianta infetta, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, sita in agro di Putignano (BA) - Area Delimitata Valle D'Itria ' Zona Cuscinetto."
DET-124-2023-FITO,124,2023,2023-11-15,Polignano a Mare,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",17,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione per n. 17 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Polignano a Mare (BA) - Area Delimitata Valle D'Itria ' Zona Infetta"
DET-129-2023-FITO,129,2023,2023-11-28,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",5,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione per n. 5 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Castellana Grotte (BA) - Area Delimitata Valle D'Itria ' Zona Infetta."
DET-132-2023-FITO,132,2023,2023-11-28,Castellana Grotte,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",5,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione per n. 5 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Castellana Grotte (BA) - Area Delimitata Valle D'Itria ' Zona Infetta."
DET-134-2023-FITO,134,2023,2023-12-01,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,5,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022 e s.m.i. Prescrizione di estirpazione di n. 5 piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano (Br) -Area delimitata SALENTO ' zona di applicazione delle misure di contenimento
DET-138-2023-FITO,138,2023,2023-12-01,Monopoli,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",5,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866 /2022. Prescrizione di misure di eradicazione per n. 5 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Monopoli (BA) - Area Delimitata Valle D'Itria ' Zona Infetta."
DET-2-2024-FITO,2,2024,2024-01-15,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,10,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022 e s.m.i. Prescrizione di estirpazione di n. 10 piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano (BR) -Area delimitata SALENTO ' zona di applicazione delle misure di contenimento
DET-13-2024-FITO,13,2024,2024-02-27,Triggiano,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 6 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Triggiano (BA) - Area Delimitata Xylella fastidiosa sottospecie fastidiosa"
DET-27-2024-FITO,27,2024,2024-04-08,Castellana Grotte,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,1,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022 e s.m.i. Prescrizione di estirpazione di n. 1 pianta infetta da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Castellana Grotte (BA) -Area delimitata Xylella fastidiosa sottospecie Pauca ST 53 ' zona di applicazione di misure di contenimento
DET-30-2024-FITO,30,2024,2024-04-10,Monopoli,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,27,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022 e s.m.i. Prescrizione di estirpazione di n. 27 piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Monopoli (BA) -Area delimitata Xylella fastidiosa sottospecie Pauca ST 53 ' zona di applicazione di misure di contenimento
DET-43-2024-FITO,43,2024,2024-04-22,Santeramo in Colle,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.lgs. 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 2 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Santeramo in Colle (BA) - Zona Infetta Xylella fastidiosa sottospecie multiplex."
DET-52-2024-FITO,52,2024,2024-05-06,Triggiano,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 76 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Triggiano, Capurso e Bari - Area Delimitata Xylella fastidiosa sottospecie fastidiosa."
DET-55-2024-FITO,55,2024,2024-05-07,Polignano a Mare,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,26,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022 e s.m.i. Prescrizione di estirpazione di n. 26 piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Polignano a Mare (BA) - Area delimitata Xylella fastidiosa sottospecie Pauca ST 53 ' zona di applicazione di misure di contenimento
DET-58-2024-FITO,58,2024,2024-05-16,Capurso,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 5 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Capurso - Area Delimitata Xylella fastidiosa sottospecie fastidiosa."
DET-59-2024-FITO,59,2024,2024-05-16,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,5,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022 e s.m.i. Prescrizione di estirpazione di n. 5 piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Fasano (BR) - Area delimitata Xylella fastidiosa sottospecie Pauca ST 53 ' zona di applicazione di misure di contenimento
DET-63-2024-FITO,63,2024,2024-05-24,Triggiano,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 93 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Triggiano - Area Delimitata Xylella fastidiosa sottospecie fastidiosa."
DET-74-2024-FITO,74,2024,2024-06-20,Triggiano,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 101 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Triggiano - Area Delimitata Xylella fastidiosa sottospecie fastidiosa."
DET-75-2024-FITO,75,2024,2024-06-20,Castellana Grotte,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,6,,Reg. (UE) 2020/1201 s.m.i.- D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022 e s.m.i. Prescrizione di estirpazione di n. 6 piante infette da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Castellana Grotte (BA) - Area delimitata a Xylella fastidiosa sottospecie Pauca ST 53 ' zona di applicazione di misure di contenimento
DET-81-2024-FITO,81,2024,2024-07-09,Santeramo in Colle,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.lgs. 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 38 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Santeramo in Colle (BA) - Zona Cuscinetto Xylella fastidiosa sottospecie multiplex."
DET-82-2024-FITO,82,2024,2024-07-09,Capurso,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 24 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Capurso ' Area Delimitata Xylella fastidiosa sottospecie fastidiosa."
DET-88-2024-FITO,88,2024,2024-07-18,Castellana Grotte,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,1,,Reg. (UE) 2020/1201 s.m.i.- D.Lgs 19 del 02/02/2021 ' D.G.R. n. 1866/2022 e s.m.i. Prescrizione di estirpazione di n. 1 pianta infetta da Xylella f. (art. 13 del Reg. (UE) 2020/1201) in agro di Castellana Grotte (BA) - Area delimitata a Xylella fastidiosa sottospecie Pauca ST 53 ' zona di applicazione di misure di contenimento
DET-96-2024-FITO,96,2024,2024-07-25,Noicattaro,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 2 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Noicattaro - Area Delimitata Xylella fastidiosa sottospecie fastidiosa."
DET-97-2024-FITO,97,2024,2024-07-25,Triggiano,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 7 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Triggiano - Area Delimitata Xylella fastidiosa sottospecie fastidiosa."
DET-99-2024-FITO,99,2024,2024-08-05,Bari e Triggiano,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 9 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Bari e Triggiano - Area delimitata a 'Xylella fastidiosa sottospecie ' Pauca ST53 - Bari"""
DET-107-2024-FITO,107,2024,2024-08-16,Bari,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",44,,"Reg. (UE) 2020/1201 - D.lgs. 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione per n. 44 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Bari, Noicattaro (BA) e Triggiano (BA) - Area delimitata ""Xylella fastidiosa ' sottospecie multiplex ST26 - Noicattaro e Triggiano""."
DET-108-2024-FITO,108,2024,2024-08-16,Capurso,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.lgs. 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 1 pianta infetta, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, sita in agro di Capurso (BA) - Zona infetta Xylella fastidiosa ' sottospecie multiplex ST26 - Capurso"
DET-116-2024-FITO,116,2024,2024-09-16,Triggiano,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,"Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 1866/2022. Prescrizione di misure di eradicazione di 10 piante infette, ai sensi dell'art. 7 del Reg. (UE) 2020/1201, site in agro di Triggiano - Area Delimitata Xylella fastidiosa sottospecie fastidiosa ST1."
